,Wijkcode,Wijknaam,Gemnr,Gemnaam,Wijk,Jaar,% 75+,Gem GGZ Kosten,% Kostenmakers GGZ,% mannen,% vrouwen,% Nederlanders,% Surinamers,% Turken,% Marokkanen,% Ned Ant en Arubanen,% Ned Indie en Indonesiers,% Polen,% Overige herkomst,Gem Leeftijd,% Jong,% Volwassen,% Oudere (65+),% Wanbetalers ZVW,% Gestorven binnen kalenderjaar
8,WK051819,Vruchtenbuurt,518,'s-Gravenhage,Wijk  19 Vruchtenbuurt,2025,0.07,73.73514285714555,0.024285714285714022,0.46999999999999986,0.5300000000000001,0.7271428571428578,0.02571428571428569,0.01,0.0,0.01,0.0385714285714287,0.021428571428571352,0.1728571428571426,41.39571428571429,0.24428571428571422,0.5628571428571423,0.18571428571428505,0.01,0.01
9,WK051819,Vruchtenbuurt,518,'s-Gravenhage,Wijk  19 Vruchtenbuurt,2026,0.07,63.298346428571676,0.022142857142856798,0.46999999999999986,0.5300000000000001,0.7242857142857151,0.026071428571428523,0.01,0.0,0.01,0.03750000000000009,0.022499999999999964,0.17607142857142843,41.46607142857144,0.24571428571428555,0.5578571428571415,0.18857142857142772,0.01,0.01
10,WK051819,Vruchtenbuurt,518,'s-Gravenhage,Wijk  19 Vruchtenbuurt,2027,0.07,52.86155000000144,0.019999999999999574,0.46999999999999986,0.5300000000000001,0.7214285714285715,0.026428571428571468,0.01,0.0,0.01,0.03642857142857148,0.023571428571428577,0.17928571428571427,41.53642857142859,0.24714285714285733,0.5528571428571425,0.19142857142857128,0.01,0.01
11,WK051819,Vruchtenbuurt,518,'s-Gravenhage,Wijk  19 Vruchtenbuurt,2028,0.07,42.42475357143121,0.01785714285714235,0.46999999999999986,0.5300000000000001,0.7185714285714289,0.0267857142857143,0.01,0.0,0.01,0.035357142857142865,0.02464285714285719,0.1825000000000001,41.60678571428571,0.24857142857142867,0.5478571428571417,0.19428571428571395,0.01,0.01
12,WK051819,Vruchtenbuurt,518,'s-Gravenhage,Wijk  19 Vruchtenbuurt,2029,0.07,31.98795714285734,0.015714285714285126,0.46999999999999986,0.5300000000000001,0.7157142857142862,0.027142857142857135,0.01,0.0,0.01,0.03428571428571425,0.0257142857142858,0.18571428571428594,41.677142857142854,0.25,0.5428571428571427,0.19714285714285662,0.01,0.01
13,WK051819,Vruchtenbuurt,518,'s-Gravenhage,Wijk  19 Vruchtenbuurt,2030,0.07,21.551160714287107,0.013571428571427901,0.46999999999999986,0.5300000000000001,0.7128571428571435,0.02749999999999997,0.01,0.0,0.01,0.03321428571428564,0.026785714285714413,0.1889285714285709,41.7475,0.25142857142857133,0.5378571428571419,0.1999999999999993,0.01,0.01
237,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2016,0.17,432.1559,0.05,0.46,0.54,0.68,0.04,0.02,0.02,0.02,0.05,0.02,0.15,49.68,0.16,0.52,0.33,0.02,0.02
0,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2017,0.17714285714285727,365.355828571428,0.05142857142857071,0.4628571428571431,0.5371428571428565,0.6771428571428579,0.04,0.02,0.02,0.02428571428571491,0.049999999999999996,0.015714285714286014,0.1499999999999999,49.69428571428571,0.1557142857142857,0.5128571428571416,0.33999999999999986,0.02285714285714291,0.02
1,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2018,0.17821428571428588,353.97750714285576,0.04892857142857121,0.4650000000000003,0.5349999999999993,0.6721428571428589,0.04,0.02,0.02,0.026428571428572134,0.049999999999999996,0.016785714285714626,0.1517857142857144,49.68892857142857,0.1567857142857143,0.5078571428571426,0.3453571428571429,0.023214285714285743,0.02
2,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2019,0.1792857142857145,342.59918571428716,0.04642857142857082,0.4671428571428575,0.532857142857142,0.6671428571428581,0.04,0.02,0.02,0.028571428571429358,0.049999999999999996,0.017857142857143238,0.15357142857142847,49.683571428571426,0.15785714285714292,0.5028571428571418,0.350714285714286,0.023571428571428577,0.02
