WKC,GMN,Wijknaam,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,AGE_SD,Person_in_Household_SD,Income_SD,Moving_Count_SD,Lifeevents_Count_SD,UniqueMed_Count_SD,ZVWKOSTENTOTAAL_SD,ZVWKHUISARTS_SD,ZVWKZIEKENHUIS_SD,ZVWKFARMACIE_SD,ZVWKOSTENPSYCHO_SD
WK051815,'s-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2016,49.97650521581,2.74725274725275,44479.5715710723,1.00698974836906,3.13406593406593,4.56931738212526,2955.88874396135,138.724188405797,1603.80695652174,338.35045410628,135.89006763285,23.3672852498339,1.36340955247654,46982.3641300647,0.0833314324476833,3.39694796224467,3.80570570882135,10364.7633501297,119.792460876448,6667.91346499392,2189.05136315288,1205.04110920866
WK051815,'s-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2017,48.7417448200294,2.92411467116358,48835.1215177714,1.01147902869757,2.82967959527825,4.46056991385023,2695.50823016965,143.220394314535,1565.84203117836,330.158092618065,134.204828060523,23.8594955634601,1.75894680183716,57953.1559395127,0.110614939609352,1.59273988345762,3.78701045893682,7349.23729520474,117.602671041838,5164.76491217341,2001.1237519744,1229.75806158483
WK051815,'s-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2018,48.211146830977,2.67961165048544,47297.4234908751,1.01330472103004,2.90938511326861,4.51625487646294,2795.43723801066,152.379342806394,1603.11817939609,307.898152753108,187.152277975133,24.0447454076127,1.61263402659172,68349.9722165123,0.114600794307227,1.86102460684051,3.79295769287167,8475.4428479858,134.881048685018,5939.05719041588,1953.02051788292,2767.78910549156
WK051815,'s-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2019,49.2451139946383,2.80569514237856,53270.7608294931,1.00775527789746,2.59463986599665,4.59578670177749,2760.28640300486,162.666509058772,1616.79509500663,314.963791427309,164.092532037119,24.1412840475686,1.34579922894316,84726.223538108,0.105578057815888,1.23150944619156,3.86223677187328,9083.25813634557,168.767247812039,6905.9417301881,1954.6156510807,2960.92363531739
WK051815,'s-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2020,49.9432334276567,2.89622641509434,50948.1061331013,1.01268412438625,2.08490566037736,4.47906091370558,2315.31917365772,157.49317114094,1339.72590184564,306.139735738255,129.521065436242,23.9208693645778,1.60314717432109,77454.5889084753,0.119019723981763,0.28006545249627,3.76544936167448,7466.11289129899,150.011245900192,5854.73619981763,1580.90415210064,1795.83324322113
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2011,44.1430737406277,3.15317286652079,29312.4278074866,1.01446694858669,3.1998541210795,4.50238625517022,4248.65654623949,126.582332878581,1457.27477035016,385.805616189177,1994.67190865712,22.0268145135762,4.55476278341266,24140.1934706455,0.133501752035309,3.47601163879098,3.74045494766282,16179.09322615,92.3947241026125,5677.72066919349,1259.82234594911,14710.7813315161
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2012,44.2630567614296,3.62751407884151,30388.5074833065,1.01236203090508,2.82703137570394,4.46168643796088,3208.67397164716,119.160308419631,1505.33917604683,314.70159612787,1008.21583258326,22.1950970630705,10.1020772013984,26301.4250418322,0.125477868874312,1.91775578083462,3.78008231383103,11330.4871931884,111.805564051866,5670.60914690304,1087.57454828073,9461.45307523404
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2013,44.2613914603637,3.11646884272997,30855.5231981982,1.01554404145078,2.89391691394659,4.36863867684478,3512.25962881617,121.488975373791,1466.56582453826,288.589626209323,1347.61547111794,22.1469283748112,6.43387439353018,31410.425469438,0.135384023180627,1.87545196110749,3.65449212428455,13120.5778147096,93.5737711061187,6262.3414975164,1010.1353222162,11078.9710135423
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2014,43.9021972357092,2.89662921348315,33157.3444020642,1.01264466352336,3.24644194756554,4.43295382669197,3524.97755323772,133.47215699065,1474.53213089802,282.656992824527,1316.91501086484,22.3218734414229,3.4923062612097,41117.5052263252,0.124452899058463,3.89959447006003,3.84434103476008,12917.5841853928,122.299601907753,6166.91707014336,1154.28929193882,10867.4663373295
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2015,44.6103456047195,2.94594594594595,32529.9879518072,1.0179756045367,2.93425858290723,4.41109669046074,3226.98677124183,129.993348593852,1427.08472422062,281.93921735339,963.306653594771,22.3824561818477,2.88523160309684,39734.2890019542,0.150974325089536,1.96758885464476,3.80352168135287,11518.2766186241,118.062668515795,5962.08618819384,1006.62695331441,8724.27082855432
